Currently: Allowed (role default),Ahora: Permitido (predeterminado del rol),"Settings, Roles and Permissions, by person"
Currently: Blocked (override),Ahora: Bloqueado (cambio para esta persona),"Settings, Roles and Permissions, by person"
Currently: Blocked (role default),Ahora: Bloqueado (predeterminado del rol),"Settings, Roles and Permissions, by person"
Custodial Laborer,Auxiliar de limpieza,"Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list"
Custodial Lead,Líder de limpieza,"Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list"
Custom,Personalizado,"The shell, the date range; Reports, the library, a custom report's badge"
DELETE,ELIMINAR,"Sites, deleting a site, the word a person types"
DROP REQ,SOL. DE BAJA,Schedule
Daily,Diario,"Reports, a trend's bucket"
Daily Checklist,Lista diaria,"Sites, adding or editing a task, Task Type"
Daily Service Log,Registro diario de servicio,"Settings, Who gets told, a form's title"
Damage Report,Reporte de daños,"Inventory, Requests, a request's type"
Dark Mode,Modo oscuro,The shell
Dark mode,Modo oscuro,The shell
Dashboard,Panel,The shell
Date,Fecha,"Schedule; Shift Pickup; Live Operations; HR Records, Documents and Other; Sites, the printed timeline; Reports, the inspection report's printed page; Staff Management, the printed timeline; HR Records, the printed attendance sheet"
Date *,Fecha *,Shift Pickup
Date is required,La fecha es obligatoria,Schedule
Date range:,Rango de fechas:,"Staff Management, the Timeline tab"
Dates,Fechas,"Schedule, Time off; Schedule, a time off request"
Day Porter,Conserje de día,"Live Operations, a person's role; Sites, General Info, a person's role; HR Records, a person's role; Staff Management, the list"
Days,Días,"Schedule, Patterns"
Deactivate,Desactivar,"Sites, a site's profile; Staff Management, a person's profile; Settings, Dropdown Options"
Deactivate this site?,¿Desactivar este sitio?,"Sites, a site's profile"
Decided,Decidido,"Schedule, a time off request"
Decided by,Decidido por,"Schedule, a time off request"
Deciding this request leaves these shifts as they are. Change or cover them on the schedule.,Decidir esta solicitud deja estos turnos como están. Cámbielos o cúbralos en el horario.,"Schedule, Time off, the note above the shifts a request covers"
Default range,Rango predeterminado,"Reports, adding or editing a report"
Default severity,Severidad predeterminada,"Reports, adding or editing an issue report"
Default site,Sitio predeterminado,"Reports, adding or editing a report"
Defaults,Valores predeterminados,"Settings, the Company tab"
Del,Eliminar,"Settings, Dropdown Options; Settings, Site Lookups"
Delete,Eliminar,"Schedule; Sites, a site's profile; HR Records; Reports, the library; Settings, Dropdown Options"
"Delete ""{0}""? This cannot be undone.","¿Eliminar ""{0}""? Esta acción no se puede deshacer.","Reports, deleting a report"
Delete Permanently,Eliminar de forma permanente,"Sites, deleting a site"
Delete failed: {0},No se pudo eliminar: {0},"Forms, Aliases, a toast"
Delete this category and all its values?,¿Eliminar esta categoría y todos sus valores?,"Settings, Dropdown Options"
Delete this document?,¿Eliminar este documento?,"HR Records, Documents"
Delete this inspection?,¿Eliminar esta inspección?,"Inspections, Scheduled and Completed"
Delete this scheduled shift? This cannot be undone.,¿Eliminar este turno programado? Esta acción no se puede deshacer.,"Schedule, deleting a shift"
Delete this step?,¿Eliminar este paso?,"HR Records, Onboarding"
Delete this template? All scheduled inspections using it will also be removed.,¿Eliminar esta plantilla? También se quitarán todas las inspecciones programadas que la usan.,"Inspections, Templates"
Delete this training record?,¿Eliminar este registro de capacitación?,"HR Records, Training"
Delete this value?,¿Eliminar este valor?,"Settings, Dropdown Options; Settings, Site Lookups"
Deleted,Eliminado,"Settings, Site Lookups"
Delta,Diferencia,"Forms, Sync Diagnostic, a column"
Denied,Denegada,"Schedule, Time off"
Deny,Denegar,"Shift Pickup; Schedule, a time off request; Inventory, a supply request; Settings, Roles and Permissions, by person"
Deny Request,Denegar la solicitud,"Schedule; Inventory, denying a supply request"
Describe the category,Describa la categoría,"Inventory, adding or editing a supply"
Describe what happened,Describa qué pasó,"Help, the box a question is written in"
Describe what this service covers...,Describa lo que cubre este servicio...,"Service Catalog, adding or editing a service"
Describe what this vendor supplies...,Describa lo que suministra este proveedor...,"Vendors, adding or editing a vendor"
Description,Descripción,"Service Catalog, a service; Service Catalog, adding or editing a service; Inspections, adding a template; Sites, the printed timeline; Reports, adding or editing a report; Staff Management, the printed timeline; Settings, Dropdown Options"
Description *,Descripción *,"Sites, adding a task"
Detail load failed: {0},No se pudo cargar el detalle: {0},"Forms, Submissions, a toast"
Detailed Instructions,Instrucciones detalladas,"Assigned Tasks, creating a task; Sites, editing a task"
Detailed Instructions (optional),Instrucciones detalladas (opcional),"Sites, adding a task"
Diagnostic complete,Diagnóstico completado,"Forms, Settings, a toast"
Diagnostic failed: {0},El diagnóstico falló: {0},"Forms, Settings, a toast"
Diagnostic load failed: {0},No se pudo cargar el diagnóstico: {0},"Forms, Sync Diagnostic, a toast"
Direct message inbox overview,Resumen de la bandeja de mensajes directos,"Settings, Roles and Permissions, the role reference"
Disabled,Deshabilitado,"Forms, Form Library, a form's badge"
Disabled only,Solo deshabilitados,"Forms, Form Library, a filter"
Dismiss,Descartar,"Forms, Sync Diagnostic, the failures"
Display name,Nombre para mostrar,"Settings, the Company tab"
Do not escalate,No escalar,"Cases, a case's window, Escalate to"
Document,Documento,"HR Records, a folder, where a record came from"
Document added,Documento agregado,"HR Records, adding a document"
Document deleted,Documento eliminado,"HR Records, Documents"
Document not found,No se encontró el documento,"HR Records, a folder"
Document the scope of work for this site...,Documente el alcance del trabajo de este sitio...,"Sites, Scope of Work"
Document updated,Documento actualizado,"HR Records, editing a document"
Documents,Documentos,"HR Records, a tab; HR Records, Compliance; Staff Management, Timeline, a kind of entry"
Documents ({0}),Documentos ({0}),"Staff Management, the HR Files tab"
Don't show again,No volver a mostrar,"The add to home screen sheet, the button that ends it"
Done,Listo,Schedule
Download,Descargar,"Forms, PDF Access Log, a filter and a badge; Forms, a submission's window"
Download CSV files for audits and clients.,Descargue archivos CSV para auditorías y clientes.,"Reports, Quick snapshots"
Download PDF,Descargar el PDF,"Forms, a filed report"
Download started,Descarga iniciada,"Forms, a submission's window, a toast"
Downloaded,Descargado,"Reports, Quick snapshots, after a CSV export"
Downloading...,Descargando...,"Forms, a filed report, while its PDF downloads"
Drop Req,Sol. de baja,Schedule
Drop Request,Solicitud de baja,"Shift Pickup; Shift Pickup, a shift's status"
Drop Requested,Baja solicitada,Shift Pickup
Drop Requests,Solicitudes de baja,Shift Pickup
Drop approved,Baja aprobada,Shift Pickup
"Drop approved, shift is now open","Baja aprobada, el turno queda abierto",Schedule
"Drop approved, shift is open","Baja aprobada, el turno queda abierto",Shift Pickup
Drop request denied,Solicitud de baja denegada,Schedule
Dropdown Options,Opciones de las listas,"Settings, the tabs"
Dropdown and site lookups,Opciones de las listas y listas por sitio,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
Due,Vence,"Forms, Filed forms, a column"
Due Date,Fecha límite,"Assigned Tasks, the task window; Assigned Tasks, creating a task; Sites, adding or editing a task"
Due Time,Hora límite,"Assigned Tasks, creating a task; Sites, adding or editing a task"
Due: {0},Vence: {0},"Assigned Tasks, the day a task is due; Sites, Service Details"
Duplicate,Duplicar,"Reports, the library"
Duration,Duración,"Forms, Settings, the full refresh window"
EIN / Tax ID,EIN / Número de identificación fiscal,"Settings, the Company tab"
EIN {0},EIN {0},"Reports, the issue report's printed page, the company's tax number"
EPA Reg #,N.º de registro de la EPA,"Inventory, adding or editing a supply"
Eastern Time (New York),Hora del Este (Nueva York),"Settings, the Company tab, a time zone"
Edit,Editar,"Shift Pickup; Sites, Service Details; HR Records; Reports, the library; Staff Management, the list; Staff Management, the Profile tab; Settings, Dropdown Options; Settings, Site Lookups; Forms, Form Library"
Edit Category,Editar categoría,"Settings, Dropdown Options"
Edit Details,Editar los detalles,"Sites, General Info"
Edit Document,Editar el documento,"HR Records, editing a document"
Edit Form,Editar el formulario,"Forms, editing a form"
Edit Scheduled Inspection,Editar la inspección programada,"Inspections, editing a scheduled inspection"
Edit Scheduled Shift,Editar el turno programado,Schedule
Edit Service,Editar el servicio,"Service Catalog, editing a service"
Edit Site Details,Editar los detalles del sitio,"Sites, editing a site"
Edit Site Lookup,Editar opción del sitio,"Settings, Site Lookups"
Edit Staff Info,Editar los datos de la persona,"Staff Management, Edit Staff Info, its title"
Edit Supply,Editar el suministro,"Inventory, editing a supply"
Edit Task,Editar la tarea,"Sites, editing a task"
Edit Training Record,Editar el registro de capacitación,"HR Records, editing a training record"
Edit Value,Editar valor,"Settings, Dropdown Options"
Edit Vendor,Editar el proveedor,"Vendors, editing a vendor"
Edit report,Editar el informe,"Reports, editing a report"
Email,Correo,"Sites, General Info; Sites, editing a site; Vendors, a vendor; Staff Management, the printed profile report; Staff Management, the Profile tab; Settings, the Company tab; Settings, Who gets told; Forms, Sync Diagnostic, the missing submissions, a column"
Email *,Correo *,"Staff Management, Add New Staff"
Email only,Solo correo,"Settings, Who gets told"
Emergency Contact,Contacto de emergencia,"Staff Management, the Profile tab"
Emergency Phone,Teléfono de emergencia,"Staff Management, the Profile tab"
Employee,Persona,"HR Records; HR Records, the printed attendance sheet; Forms, linking a submission, a kind of record"
Employee ID,ID de la persona,"Staff Management, the Profile tab; Staff Management, Add New Staff; Staff Management, Edit Staff Info"
Employee Information,Datos de la persona,"Staff Management, the printed profile report"
Employee Report,Informe de la persona,"Staff Management, the printed profile report, its heading"
